,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
0,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,10x10bet,1.43,2.47,1.9,
1,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,1xBet,1.42,2.52,1.85,
2,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Asianodds,1.4,2.43,1.97,
3,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,bet-at-home,1.36,2.25,1.95,
4,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,bet365,1.4,2.4,1.9,
5,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Betsensation,1.46,2.53,1.94,
6,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,bwin,1.25,2.3,1.7,
7,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Coolbet,1.45,2.5,1.9,
8,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Curebet,1.43,2.47,1.9,
9,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,GGBET,1.39,2.46,1.79,
10,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Lasbet,1.45,2.51,1.93,
11,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Marathonbet,1.4,2.52,1.86,
12,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Pinnacle,1.4,2.48,1.94,
13,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Unibet,1.4,2.4,1.85,
14,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,William Hill,1.35,2.4,1.88,
15,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,10x10bet,1.36,2.36,2.08,
16,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,1xBet,1.36,2.52,1.95,
17,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Asianodds,1.38,2.35,2.08,
18,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,bet-at-home,1.32,2.3,2.0,
19,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,bet365,1.25,2.5,2.1,
20,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Betsensation,1.39,2.41,2.13,
21,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,bwin,1.37,2.25,1.55,
22,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Coolbet,1.4,2.4,2.0,
23,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Curebet,1.36,2.36,2.08,
24,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,GGBET,1.3,2.45,1.93,
25,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Lasbet,1.38,2.4,2.11,
26,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Marathonbet,1.34,2.52,1.96,
27,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Pinnacle,1.35,2.4,2.08,
28,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Unibet,1.45,2.2,2.0,
29,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,William Hill,1.38,2.25,1.9,
30,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,10x10bet,1.13,2.41,2.52,
31,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,1xBet,1.11,2.52,2.46,
32,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Asianodds,1.15,2.37,2.51,
33,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,bet-at-home,1.12,2.3,2.4,
34,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,bet365,1.05,2.6,2.5,
35,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Betsensation,1.16,2.47,2.58,
36,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,bwin,0.9,2.3,2.5,
37,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Coolbet,1.12,2.5,2.5,
38,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Curebet,1.13,2.41,2.52,
39,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,GGBET,1.08,2.47,2.37,
40,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Lasbet,1.15,2.45,2.56,
41,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Marathonbet,1.09,2.52,2.48,
42,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Pinnacle,1.14,2.41,2.51,
43,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Unibet,1.1,2.35,2.5,
44,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,William Hill,1.05,2.5,2.4,
45,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,10x10bet,1.52,2.47,1.79,
46,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,1xBet,1.5,2.56,1.71,
47,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Asianodds,1.59,2.48,1.8,
48,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,bet-at-home,1.45,2.3,1.65,
49,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,bet365,1.55,2.4,1.75,
50,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Betsensation,1.55,2.52,1.83,
51,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,bwin,1.65,2.2,1.35,
52,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Coolbet,1.6,2.5,1.7,
53,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Curebet,1.52,2.47,1.79,
54,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Lasbet,1.54,2.5,1.81,
55,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Marathonbet,1.5,2.56,1.71,
56,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Pinnacle,1.51,2.48,1.8,
57,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Unibet,1.75,2.45,1.45,
58,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,William Hill,1.6,2.3,1.62,
59,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,10x10bet,2.09,2.1,1.51,
60,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,1xBet,1.98,2.2,1.5,
61,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Asianodds,2.2,2.11,1.51,
62,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,bet-at-home,1.95,2.1,1.45,
63,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,bet365,2.0,2.2,1.45,
